step,state,transition,probability,map
161,1,-1,0.3510653862760791,0.27845926077243577
162,0,-1,0.2585252053835465,0.15861622538162168
163,7,0,0.7900310049254395,0.7622678420137292
164,7,-1,0.4209234161859756,0.3067155330597854
165,6,1,0.7392051800789508,0.6517340819109905
166,7,-1,0.136499185874712,0.3067155330597854
167,6,0,0.4014424091178237,0.1693936121412033
168,6,0,0.37702351547048707,0.1693936121412033
169,6,0,0.23121623536176505,0.1693936121412033
170,6,-1,0.010618636432014661,0.017659530230212828
171,5,-1,0.17858137927187223,0.3087684843667915
172,4,1,0.9812698909351403,0.8463931411814867
173,5,-1,0.4715300035235954,0.3087684843667915
174,4,-1,0.3554668643101093,0.1854823723941773
175,3,-1,0.09889268521199313,0.2867318946346401
176,2,0,0.5480416014260241,0.4684924734124999
177,2,-1,0.03505718276160619,0.02984359033599282
178,1,1,0.8122515300396997,0.787063010980868
179,2,-1,0.09477204085449609,0.02984359033599282
180,1,1,0.883098781010611,0.787063010980868
181,2,-1,0.038203592709161516,0.02984359033599282
182,1,1,0.8012071322866723,0.787063010980868
183,2,0,0.48930822834395893,0.4684924734124999
184,2,0,0.26679242061776276,0.4684924734124999
185,2,0,0.25786823627765787,0.4684924734124999
186,2,-1,0.136446989846275,0.02984359033599282
187,1,-1,0.1531099942512426,0.27845926077243577
188,0,0,0.4730791137096182,0.6361657848225597
189,0,0,0.681957121413789,0.6361657848225597
190,0,0,0.46410110206815736,0.6361657848225597
191,0,-1,0.15674660380240502,0.15861622538162168
192,7,-1,0.4403731908355806,0.3067155330597854
193,6,1,0.9690366454158814,0.6517340819109905
194,7,-1,0.1515070606877036,0.3067155330597854
195,6,1,0.5376132175800699,0.6517340819109905
196,7,1,0.885049209216549,0.9555523089539438
197,0,1,0.9878740826575585,0.977549559440938
198,1,-1,0.013909478904693184,0.27845926077243577
199,0,0,0.5297782704408167,0.6361657848225597
200,0,-1,0.3216862677851198,0.15861622538162168
201,7,-1,0.5281284655172918,0.3067155330597854
202,6,0,0.3029091813660314,0.1693936121412033
203,6,0,0.3673756362069356,0.1693936121412033
204,6,1,0.6491555039326913,0.6517340819109905
205,7,-1,0.30854843251263286,0.3067155330597854
206,6,1,0.5357773428070036,0.6517340819109905
207,7,1,0.8919736172519646,0.9555523089539438
208,0,0,0.5720810091931643,0.6361657848225597
209,0,0,0.5296622979468462,0.6361657848225597
210,0,-1,0.09929042906764196,0.15861622538162168
211,7,-1,0.17489377507681003,0.3067155330597854
212,6,1,0.5295846280133145,0.6517340819109905
213,7,-1,0.000706845755883867,0.3067155330597854
214,6,0,0.20088225279580318,0.1693936121412033
215,6,0,0.14628672160918343,0.1693936121412033
216,6,0,0.2326518072658612,0.1693936121412033
217,6,1,0.5437951282427462,0.6517340819109905
218,7,-1,0.3550266532133013,0.3067155330597854
219,6,1,0.8968898886146763,0.6517340819109905
220,7,0,0.7107428170976327,0.7622678420137292
221,7,-1,0.11101653682779045,0.3067155330597854
222,6,1,0.5383862140564257,0.6517340819109905
223,7,-1,0.35805354401310696,0.3067155330597854
224,6,1,0.6046432512877513,0.6517340819109905
225,7,-1,0.022020711593850884,0.3067155330597854
226,6,1,0.6806819360258163,0.6517340819109905
227,7,-1,0.15720712705674988,0.3067155330597854
228,6,1,0.4564811135408364,0.6517340819109905
229,7,0,0.5968815051518557,0.7622678420137292
230,7,1,0.8711874995972673,0.9555523089539438
231,0,-1,0.2248054518763163,0.15861622538162168
232,7,1,0.9210390525575243,0.9555523089539438
233,0,-1,0.34470536733040436,0.15861622538162168
234,7,0,0.7845276508462844,0.7622678420137292
235,7,-1,0.2178373671670777,0.3067155330597854
236,6,1,0.5788626953375369,0.6517340819109905
237,7,-1,0.3950675579429448,0.3067155330597854
238,6,1,0.9688169820267234,0.6517340819109905
239,7,-1,0.07422008290725324,0.3067155330597854
240,6,0,0.17675104592256674,0.1693936121412033
241,6,1,0.7991926207318845,0.6517340819109905
242,7,0,0.8489209379684737,0.7622678420137292
243,7,0,0.7852005636786756,0.7622678420137292
244,7,1,0.9535459117355964,0.9555523089539438
245,0,0,0.6664666421560743,0.6361657848225597
246,0,1,0.8171277716677212,0.977549559440938
247,1,0,0.43022394541729003,0.5655222717533037
248,1,0,0.6577420996273822,0.5655222717533037
249,1,-1,0.07892050315765164,0.27845926077243577
250,0,0,0.42229802455457577,0.6361657848225597
251,0,-1,0.19636257896846865,0.15861622538162168
252,7,-1,0.04705041198459625,0.3067155330597854
253,6,1,0.5802799711064337,0.6517340819109905
254,7,0,0.5510377294560496,0.7622678420137292
255,7,-1,0.4031348577821421,0.3067155330597854
